motivo,count
desconto revenda,77
Pagamento a vista,34
Itens de variedades da loja que estão no estoque obsoleto alinhado o desconto com o paulo.,27
Autorização de desconto pedido avista fechado com o cooperado,27
Solicitação de desconto para acompanhar a concorrência,21
Concorrencia,19
Desconto aplicado para combater concorrência.,17
desconto Tossani,17
Autorização de desconto pedido fechado com o cooperado,16
Autorização de desconto pedido fechado com o cooperado pagamento 07 dias,16
Desconto tossani,14
Alinhamento comercial,13
Autorição de desconto pedido fechado com o cooperado vencimento 26/01/2025,12
"Acompanhando valor geral da concorrência, Coopercam.",12
Pedido de desconto em negociação para acompanhar preço médio da concorrência.,12
Desconto em produtos para acompanhar preço da concorrência.,11
Ração Chiquinho Juruaia,11
Revenda 3 Barras,11
alinhamento comercial,11
desconto de revenda,10
negociado com cooperado,10
Desconto aplicado para combater concorrência,10
pagamento a vista,10
Desconto solicitado para chegar no preço ca concorrência Coopercitrus e Focco agrícola.,10
condição concorrente coopama,10
Desconto aprovado por Marcelo,10
Ajuste comercial,10
Cooperado fecha nessas condições!,9
Desconto revenda,9
Desconto Chiquinho Juruaia,9
Desconto autorizado pelo supervisor.,9
Desconto para acompanhar a concorrência,9
cooperado fecha nesse preço.,8
Desconto aprovado para combater concorrência,8
Autorização de desconto pedido fechado com o cooperado vencimento 18/02/2026,8
pagamento curto prazo,8
desconto eto,7
Desconto necessário para que o item 2768 chegasse ao preço compatível para realizar mistura com outros defensivos.,7
ração com problema,7
promoção do Empório,7
Autorização de desconto pedido fechado com o cooperado vencimento 26/01/2026,7
Desconto de revenda,7
acompanhar preços coopama,7
cotação autorizada insumos,7
"Compra a vista, no pix.",7
Desconto Lais,7
Desconto aplicado de acordo com valores aprovados pelo Thalles e Inácio.,7
desconto Chiquinho juruaia,7
AUT. DENISE,7
Acompanhar condição comercial encontrada no mercado.,6
Combate a concorrência.,6
ajuste revenda eder,6
acompahar preços minasul,6
desconto revenda regis,6
negociado com Rafael comercial,6
DESCONTO APROVADO PELO GERENTE DE NEGOCIOS RODRIGO MAGRI.,6
Condição para cooperado negociada com CTC. Vem comprando toda pulverização e defensivos com a cooperativa.,6
meu supervisor aprovou pois está com defeito,6
Condição para cobrir preço concorrência.,6
Balizamento de mercado,6
Desconto autorizado 3% gerente. Especifico de cereais.,6
desconto para ajuste de preço concorrência,6
ajuste revenda eder.,6
Cooperado tem na cacapec a esse preço e daria a preferência para cooxupé,6
Autorização de desconto pedido fechado com o cooperado vencimento 27/04/2025,5
desconto Eto,5
Negociação,5
Acompanhar o preço da concorrência.,5
desconto do Empório conforme e-mail do Edson (Torrefação),5
evitando concorrencia,5
desconto revenda Bom Jesus da Penha,5
"desconto alinhado com Flávio gerente e comercial Rafael, produto vencido cooperado ciente.",5
"Terceiro esta em fase final de transação para cooperado, documentação esta tudo ok.",5
desconto solicitado para igualar  valor e concorrente c,5
acompanhar preços coopercitrus,5
Tales avaliar proposta.,5
Autorização de desconto pedido fechado avista preço acompanhando concorrente Coopercam,5
"Ajuste de preço ao mercado, cereais.",5
Cooperado tem na casa do café e daria a preferência para Cooxupé,5
Pagamento a vista .,5
alinhado com gerencia,5
ajuste revenda,5
Desconto autorizado por Paulo 3% gerente,5
acompanhar cotação coopercitrus,5
condição  comercial    gerente   /   cooperado,5
AJUSTE DE PREÇO DEVIDO ALTA DE PREÇO.,5
Autorização de desconto pedido fechado avista com o cooperado complemento de compra do Acordo Nº11815442,5
condição curto prazo,5
negociado com reginaldo e rafael,5
condição  comercial   gerente  /  cooperado,4
NEGOCIADO COM DENISE,4
Venda a vista,4
condição  comercial,4
autorizado,4
"Proponente a cooperado com a aprovação atrasada na cooperativa, ajuste de preço ao preço de cooperado.",4
cooperado   /   gerente,4
cONCORRENCIA,4
Condição para cooperado  retirada em loja,4
acompnhar preços coopercitrtus,4
negociado com Rafael. Neto autorizado por Raul..,4
Pagamento a vista revenda 3 barras,4
Concorrencia.,4
Desconto alinhado com Vandelino,4
pagamentoa vista,4
Desconto aplicado para combater concorrencia,4
CONDIÇÃO CONCORRENTE COOPAMA,4
valores alinhados ana cassia em cotação espcifca.,4
Desconto autorizado 3% gerente. Acordado com Paulo,4
A VISTA CAIXA,4
Desconto autorizado 3% gerente. Autorizado por Paulo otavio,4
Desconto para cobrir preço GA Agronegócios.,4
Desconto casa pescador,4
Desconto alinhado com a gerência.,4
condição   comercial     gerente  /  cooperado,4
DESCONTO A VISTA,4
Por favor conceder desconto  ao cooperado pois o cod.32254 está com pedrado a avariado e os demais conceder desconto de 3%.,4
desconto autorizado por joaquim,4
"produtor está entrando de cooperado, fat 7 dias. entrega apos o pagamento.",4
Revenda 3 barras,4
ajuste comercial,4
Desconto ração Eto,3
Desconto revenda juruaia,3
Desconto Tossani,3
Desc aut Ger Vandelino,3
Desconto ração . Revenda Petúnia.,3
Autorização de desconto pedido fechado com o cooperado preço acompanhando concorrente Capebe qualquer duvida falar direto com o Gerente Inácio Orani Melo,3
condição   comercial,3
Oferta GA Agronegocios,3
Pacote Foliares - 7 dias de prazo,3
Cooperado adquire todos produtos na Cooxupé,3
Alinhado com Dirceu,3
Autorização de desconto pedido fechado com o cooperado vencimento 15/01/2025,3
Desconto para acompanha,3
ajuste de preço em negociação,3
Venda para colaborador Rubinho,3
preço autorizado Junior ICL.,3
negociado com comprador da fazenda,3
Preço acertado com Paulo Otávio.,3
iTEM COM vENCIMENTO PARA DIA 31-01-2026.,3
Meu supervisor aprovou pois está com defeito,3
cooperado fiel en suas compras e movimentação de cafe.,3
condição  comwercial    gerente  / cooperado,3
CONDIÇÃO  COMERCIAL     GERENTE /  COOPERADO,3
acompanhar preço construcar,3
desconto Ração Semanal,3
Negociação direta com o cooperado para acompanhar preço da concorrência.,3
Campanha Empório,3
Desconto alinhado com gerente.,3
desconto referente ao e-mail do Edson da Torrefação,3
Cotação especifica -alinhado comercial insumos,3
Cotação Específica - Alinhado om Comercial Insumos,3
Campanha Café - Mauro Pinheiro,3
Desconto aplicado para combater a concorrência GEAGRO com o de acordo do Inácio.,3
Desconto referente a sacaria rasgada.,3
condição pagamento a vista,3
"Por favor conceder 3% desconto ao cooperado.

OBs: o produto de código: 3868 está com a embalagem danificada / avariada conceder 15% desconto.",3
Autorização de desconto pedido avista fechado com  o cooperado,3
Compra curto prazo.,3
condição  comercial /  erente /  cooperado,3
CONCORRENCIA,3
Cooperado tem na casa do café e daria preferência para Cooxupé,3
"Desconto necessário para vender o item 55290 que temos uma grande quantidade em estoque , porém na embalagem de L, a embalagem de 5 L do item 59369 fica mais barato.",3
desconto João Luzia,3
Camisa com sinal de dobrado,3
Desconto aplicado entre Inácio e cooperado.,3
Cooperado tem na cocapec e dará a preferência para Cooxupé,3
DESCONTO PREÇO MERCADO,3
Desconto de revenda para o Claudio da Petunia,3
Item vence amanha.,3
desconto alinhado com a gerência,3
ajuste de preço,3
Desconto solicitado para chegar  no preço da concorrência W2.,3
condição  comercial    --  gerente  /  cooperado,3
cooperado me da preferncia preço de coocapec.,2
Desconto alinhado com o gerente.,2
Desconto para pagamento a vista.,2
Autorização de desconto pedido fechado com o cooperado preço acompanhando concorrente Geagro e Coopercam,2
Desconto já feito ao cooperado anteriormente,2
acompanhar preço coopama,2
Cotação específica - Alinhado com Joaquim Comercial Insumos,2
"Preço concorrente PMG, pagamento a vista",2
condição acertada com fornecedor autorizada Raul e Lais Gerente de loja,2
Acompanhar condição comercial INOVA e PROTEC.,2
Cooperado abriu esse valor do opera que é o valor que ele tem na loja agro carvalho.,2
Autorização de desconto pedido fechado com o cooperado alinhado com o gerente Inácio Orani Melo preço acompanhando concorrente Capebe,2
Acertando o item tiguvon com vencimento para janeiro.,2
Alinhado com Comercial,2
Desconto autorizado pelo supervisor calça promoção.,2
Itens de variedades da loja que estão no estoque obsoleto alinhado o desconto com o Paulo.,2
Autorização de desconto pedido avista fechado com o cooperado preço acompanhando concorrente Coopercam,2
denise autorizar,2
COOPERADO TEM ESSE PREÇO NA COOCAPEC,2
Cobrar oferta concorrência.,2
Desconto alinhado com João Carlos gerente.,2
"Produto vencendo , L08	46954	Fungicida CYPRESS 400 EC 1 L	FR	12	0003-24-01584	31/01/2026",2
pra ficar preço competitivo com o preço coocapec,2
Preço pra igualar a Concorrência -  Coopercitrus,2
